occurrenceID,plotCode,area,plateNumber,subplot,treeNumber,branchNumber,vernacularName,scientificName,x,y,dbh,TH,TBCP,TBCU,TBCD,TBHP,CBP,S1_death,S2_death,S3_death
7D0092FA-4C0E-4FC5-8B02-D465F7370836,DJ-15,推移帶,19660,2,2,3,臺灣二葉松,Pinus taiwanensis,60,750,11.6,3,25,1.3,1.1,40,5,1,1,1
2958AE7A-440B-495A-9B6E-B28CAAF8E0D7,DJ-15,推移帶,19661,2,2,4,臺灣二葉松,Pinus taiwanensis,60,750,24,11,5,1.5,1,11.36,0,0,0,0
048594F6-C393-4F6B-972F-F92D9702E641,DJ-15,推移帶,19662,2,2,5,臺灣二葉松,Pinus taiwanensis,60,750,24.8,11,10,1.5,0.8,10.45,0,0,0,0
AD24EBF5-9301-4267-A5AF-BF3A85A385E8,DJ-15,推移帶,19663,2,2,6,臺灣二葉松,Pinus taiwanensis,60,750,30.2,14,30,1.75,1.1,10.18,0,0,0,0
1CFDC57E-ECAE-4290-98EB-F88D150024D5,DJ-15,推移帶,19664,2,2,7,臺灣二葉松,Pinus taiwanensis,60,750,25.3,13.5,20,1.5,0.9,8.89,0,0,0,0
226603E5-E0F7-407B-8D2D-D03554599EE9,DJ-15,推移帶,19665,2,2,8,臺灣二葉松,Pinus taiwanensis,60,750,17,7,0,1.2,1,15.71,35,0,0,0
FB6E00F7-ED58-4E8E-8D3F-C0F7C6C27716,DJ-15,推移帶,19666,2,3,1,臺灣二葉松,Pinus taiwanensis,50,970,10.5,8.5,100,3,0.9,22.94,100,1,1,1
06F5BBD9-9DD2-4C59-B8E6-AE8855176946,DJ-15,推移帶,19667,2,4,1,臺灣二葉松,Pinus taiwanensis,210,820,9.5,6,0,1.2,0.4,13.33,80,1,1,1
D0E96488-64BD-4CDA-AE54-7E19E392F21B,DJ-15,推移帶,19668,2,4,2,臺灣二葉松,Pinus taiwanensis,210,820,8,5,0,1,1.4,24,45,1,1,1
C3BF1010-FE4D-47AA-8D89-2842938463AC,DJ-15,推移帶,19669,2,5,1,臺灣二葉松,Pinus taiwanensis,220,890,12.2,7.5,30,1,1.6,17.33,95,1,1,1
E273DC73-F9A6-413A-8D15-D2F5653CC2A6,DJ-15,推移帶,19670,2,6,1,臺灣二葉松,Pinus taiwanensis,220,930,19.8,11,0,0.5,0.05,2.5,70,0,0,0
2671BDDC-4E97-47DB-AA17-A23B130BD971,DJ-15,推移帶,19671,3,7,1,臺灣二葉松,Pinus taiwanensis,610,690,14.2,10,0,0.1,0,0.5,50,0,0,0
ED0FA08A-555D-40B3-B03A-00D6B65E9E8B,DJ-15,推移帶,19672,3,7,2,臺灣二葉松,Pinus taiwanensis,610,690,5.8,6,0,0.1,0.2,2.5,60,0,0,0
04BED79B-0AD9-45D8-BF67-BFBDF638FC7C,DJ-15,推移帶,19673,3,8,1,臺灣二葉松,Pinus taiwanensis,870,85,14.9,11.5,0,0.25,0.3,2.39,70,0,0,1
0CBB559D-3C2E-4471-A480-693A4B1A3851,DJ-15,推移帶,19674,3,9,1,臺灣二葉松,Pinus taiwanensis,970,950,5.5,7.5,0,0.15,0.25,2.67,100,1,1,1
4440FB13-313C-4FCA-87E1-632AF57E1033,DJ-15,推移帶,19675,3,10,1,臺灣二葉松,Pinus taiwanensis,940,610,32.5,12.5,0,0.15,0,0.6,15,0,0,0
A94251B0-56F6-4173-BDB4-F5AFCE76D18F,DJ-15,推移帶,19676,3,11,1,臺灣二葉松,Pinus taiwanensis,920,490,6.2,4,0,1.2,0.2,17.5,100,1,0,1
86BA0A49-9E95-4F0E-8AD5-C697CAD281C0,DJ-15,推移帶,19677,4,12,1,臺灣二葉松,Pinus taiwanensis,770,420,10.6,8,0,1,0.4,8.75,60,1,1,1
44352AA5-0AF2-40DB-B176-CC352C3C1442,DJ-15,推移帶,19678,4,13,1,臺灣二葉松,Pinus taiwanensis,650,490,7.9,9,0,0.25,0.35,3.33,50,1,1,1
1E01F85A-5814-47AC-B38F-3B57882D4269,DJ-15,推移帶,19679,4,14,1,紅毛杜鵑,Rhododendron rubropilosum,740,390,2.5,1.5,0,0.8,0.15,31.67,100,1,1,1
D106A03A-14F9-4467-9596-724EC883878B,DJ-15,推移帶,19680,4,15,1,臺灣二葉松,Pinus taiwanensis,810,130,12.8,10,0,0.5,0.6,5.5,30,0,0,0
C4353678-82AE-4B09-A1BB-C170BBEB855E,DJ-15,推移帶,19681,4,16,1,臺灣二葉松,Pinus taiwanensis,520,10,20.9,11,0,0.1,0,0.45,70,0,0,0
